eventID	eventDate	dynamicProperties	decimalLongitude	decimalLatitude	coordinatePrecision	coordinateUncertaintyInMeters	locality	higherGeography	higherGeographyID	countryCode	sampleSizeValue	sampleSizeUnit	geodeticDatum	samplingProtocol
1997/98-01	1997-12-10	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1997/98-02	1997-12-18	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1997/98-03	1997-12-24	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1997/98-04	1998-01-01	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1997/98-05	1998-01-08	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1997/98-06	1998-01-16	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1997/98-07	1998-01-22	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1997/98-08	1998-01-29	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1998/99-01	1998-12-10	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1998/99-02	1998-12-17	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1998/99-03	1998-12-24	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1998/99-04	1999-01-02	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1998/99-05	1999-01-07	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1998/99-06	1999-01-14	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1998/99-07	1999-01-21	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1998/99-08	1999-01-28	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1998/99-09	1999-02-04	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1998/99-10	1999-02-11	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1998/99-11	1999-02-18	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1999/00-01	1999-12-06	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1999/00-02	1999-12-13	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1999/00-03	1999-12-20	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1999/00-04	1999-12-27	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1999/00-05	2000-01-03	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1999/00-06	2000-01-10	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1999/00-07	2000-01-18	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1999/00-08	2000-01-24	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1999/00-09	2000-01-31	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1999/00-10	2000-02-07	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
1999/00-11	2000-02-14	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2000/01-01	2000-11-24	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2000/01-02	2000-12-01	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2000/01-03	2000-12-08	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2000/01-04	2000-12-15	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2000/01-05	2000-12-22/2000-12-23	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	2	days	EPSG:4326	
2000/01-06	2000-12-29	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2000/01-07	2001-01-05	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2000/01-08	2001-01-12	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2000/01-09	2001-01-19	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2000/01-10	2001-01-26	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2000/01-11	2001-02-03	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2000/01-12	2001-02-09	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2000/01-13	2001-02-17	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2001/02-01	2001-12-08	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2001/02-02	2001-12-15/2001-12-16	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	2	days	EPSG:4326	
2001/02-03	2001-12-22	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2001/02-04	2001-12-28	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2001/02-05	2002-01-05	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2001/02-06	2002-01-12	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2001/02-07	2002-01-19	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2001/02-08	2002-01-26	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2001/02-09	2002-02-02	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2001/02-10	2002-02-09	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2001/02-11	2002-02-16	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2001/02-12	2002-02-23	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2002/03-01	2002-11-07	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2002/03-02	2002-11-10	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2002/03-03	2002-11-16	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2002/03-04	2002-11-23	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2002/03-05	2002-11-30	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2002/03-06	2002-12-07	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2002/03-07	2002-12-14	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2002/03-08	2002-12-21	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2002/03-09	2002-12-28	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2002/03-10	2003-01-04	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2003/04-01	2003-12-28	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2003/04-02	2004-01-06	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2003/04-03	2004-01-11	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2003/04-04	2004-01-18	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2003/04-05	2004-01-26	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2003/04-06	2004-02-02	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2003/04-07	2004-02-08	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2003/04-08	2004-02-16	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2004/05-01	2004-12-19	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2004/05-02	2004-12-26	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2004/05-03	2005-01-02	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2004/05-04	2005-01-11	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2004/05-05	2005-01-17	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2004/05-06	2005-01-23	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2004/05-07	2005-01-30	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2004/05-08	2005-02-08	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2004/05-09	2005-02-16	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2004/05-10	2005-02-24	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2004/05-11	2005-03-02	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2005/06-01	2005-12-27	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2005/06-02	2006-01-03	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2005/06-03	2006-01-10	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2005/06-04	2006-01-18	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2005/06-05	2006-01-24	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2005/06-06	2006-01-31	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2005/06-07	2006-02-07	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2005/06-08	2006-02-15	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2006/07-01	2006-12-05	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2006/07-02	2006-12-14	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2006/07-03	2006-12-21	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2006/07-04	2006-12-28	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2006/07-05	2007-01-04	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2006/07-06	2007-01-11	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2006/07-07	2007-01-18	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2006/07-08	2007-01-25	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2009/10-01	2009-10-23/2009-10-24	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	2	days	EPSG:4326	
2009/10-02	2009-11-01	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2009/10-03	2009-11-08	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2009/10-04	2009-11-14	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2009/10-05	2009-11-21	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2009/10-06	2009-11-28	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2009/10-07	2009-12-05	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2009/10-08	2009-12-12	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2009/10-09	2009-12-19	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2009/10-10	2009-12-27/2009-12-28	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	2	days	EPSG:4326	
2009/10-11	2010-01-04	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2009/10-12	2010-01-11	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2009/10-13	2010-01-19	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2009/10-14	2010-01-26	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2009/10-15	2010-02-02	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2009/10-16	2010-02-09	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2009/10-17	2010-02-16	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2009/10-18	2010-02-23	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2010/11-01	2010-11-10	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2010/11-02	2010-11-18	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2010/11-03	2010-11-24	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2010/11-04	2010-12-03/2010-12-04	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": false}								AQ	2	days	EPSG:4326	
2010/11-05	2010-12-18	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2010/11-06	2010-12-28/2010-12-30	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	3	days	EPSG:4326	
2010/11-07	2011-01-07	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2010/11-08	2011-01-15	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2011/12-01	2011-11-23	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2011/12-02	2011-12-01	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2011/12-03	2011-12-09	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2011/12-04	2011-12-17	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2011/12-05	2011-12-23	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2011/12-06	2011-12-30	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2011/12-07	2012-01-06	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2011/12-08	2012-01-13	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2011/12-09	2012-01-20	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2011/12-10	2012-01-27/2012-01-28	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	2	days	EPSG:4326	
2011/12-11	2012-02-04	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2011/12-12	2012-02-10	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2011/12-13	2012-02-17	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": false}								AQ	1	day	EPSG:4326	
2011/12-14	2012-02-24	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2012/13-01	2012-11-16	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2012/13-02	2012-11-23	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2012/13-03	2012-11-30	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2012/13-04	2012-12-07	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2012/13-05	2012-12-14	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2012/13-06	2012-12-20/2012-12-21	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	2	days	EPSG:4326	
2012/13-07	2012-12-28	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2012/13-08	2013-01-04	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2012/13-09	2013-01-11	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2012/13-10	2013-01-18	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2012/13-11	2013-01-25	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2012/13-12	2013-02-01	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
2012/13-13	2013-02-08	{""research_program"": ""USAMLR"", ""surveyed_san_telmo"": true}								AQ	1	day	EPSG:4326	
