eventID	location	scientificName	vernacularName	scientificNameID	taxonRank	kingdom	occurrenceID	basisOfRecord	identificationReferences	lifeStage	sex	individualCount	occurrenceStatus	dynamicProperties	eventDate	dateIdentified
1997/98-01	Core census locations	Lobodon carcinophagus	Crabeater seal	urn:lsid:marinespecies.org:taxname:344008	Species	Animalia		HumanObservation		adult	female	0	absent	{""total_count"": 0}	1997-12-10	1997-12-10
1997/98-01	Core census locations	Lobodon carcinophagus	Crabeater seal	urn:lsid:marinespecies.org:taxname:344008	Species	Animalia		HumanObservation		adult	male	0	absent	{""total_count"": 0}	1997-12-10	1997-12-10
1997/98-01	Core census locations	Lobodon carcinophagus	Crabeater seal	urn:lsid:marinespecies.org:taxname:344008	Species	Animalia		HumanObservation		adult	unknown		absent	{""total_count"": 0}	1997-12-10	1997-12-10
1997/98-01	Core census locations	Lobodon carcinophagus	Crabeater seal	urn:lsid:marinespecies.org:taxname:344008	Species	Animalia		HumanObservation		juvenile	female		absent	{""total_count"": 0}	1997-12-10	1997-12-10
1997/98-01	Core census locations	Lobodon carcinophagus	Crabeater seal	urn:lsid:marinespecies.org:taxname:344008	Species	Animalia		HumanObservation		juvenile	male		absent	{""total_count"": 0}	1997-12-10	1997-12-10
1997/98-01	Core census locations	Lobodon carcinophagus	Crabeater seal	urn:lsid:marinespecies.org:taxname:344008	Species	Animalia		HumanObservation		juvenile	unknown		absent	{""total_count"": 0}	1997-12-10	1997-12-10
1997/98-01	Core census locations	Lobodon carcinophagus	Crabeater seal	urn:lsid:marinespecies.org:taxname:344008	Species	Animalia		HumanObservation		pup	unknown		absent	{""total_count"": 0}	1997-12-10	1997-12-10
1997/98-01	Core census locations	Lobodon carcinophagus	Crabeater seal	urn:lsid:marinespecies.org:taxname:344008	Species	Animalia		HumanObservation		unknown	female		absent	{""total_count"": 0}	1997-12-10	1997-12-10
1997/98-01	Core census locations	Lobodon carcinophagus	Crabeater seal	urn:lsid:marinespecies.org:taxname:344008	Species	Animalia		HumanObservation		unknown	male		absent	{""total_count"": 0}	1997-12-10	1997-12-10
1997/98-01	Core census locations	Lobodon carcinophagus	Crabeater seal	urn:lsid:marinespecies.org:taxname:344008	Species	Animalia		HumanObservation		unknown	unknown		absent	{""total_count"": 0}	1997-12-10	1997-12-10
1997/98-01	Core census locations	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia		HumanObservation		adult	female	6	present	{""total_count"": 251}	1997-12-10	1997-12-10
1997/98-01	Core census locations	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia		HumanObservation		adult	male	1	present	{""total_count"": 251}	1997-12-10	1997-12-10
