header_id,location,species,species_common,total_count,ad_female_count,ad_male_count,ad_unk_count,juv_female_count,juv_male_count,juv_unk_count,pup_count,unk_female_count,unk_male_count,unk_unk_count
1997/98-01,Core census locations,Lobodon carcinophagus,Crabeater seal,0,0,0,,,,,,,,
1997/98-01,Core census locations,Mirounga leonina,Southern elephant seal,251,6,1,,19,168,,24,,,33
1997/98-01,Core census locations,Hydrurga leptonyx,Leopard seal,0,0,0,0,,,,,,,
1997/98-01,Core census locations,Leptonychotes weddellii,Weddell seal,34,10,15,,3,6,,0,,,
1997/98-02,Core census locations,Lobodon carcinophagus,Crabeater seal,1,0,1,,,,,,,,
1997/98-02,Core census locations,Mirounga leonina,Southern elephant seal,275,5,7,,22,189,,15,,,37
1997/98-02,Core census locations,Hydrurga leptonyx,Leopard seal,0,0,0,0,,,,,,,
1997/98-02,Core census locations,Leptonychotes weddellii,Weddell seal,14,4,7,,0,3,,0,,,
1997/98-03,Core census locations,Lobodon carcinophagus,Crabeater seal,1,0,1,,,,,,,,
1997/98-03,Core census locations,Mirounga leonina,Southern elephant seal,277,18,9,,31,157,,23,,,39
1997/98-03,Core census locations,Hydrurga leptonyx,Leopard seal,0,0,0,0,,,,,,,
1997/98-03,Core census locations,Leptonychotes weddellii,Weddell seal,10,3,6,,0,1,,0,,,
1997/98-04,Core census locations,Lobodon carcinophagus,Crabeater seal,0,0,0,,,,,,,,
1997/98-04,Core census locations,Mirounga leonina,Southern elephant seal,295,26,10,,30,169,,11,,,49
1997/98-04,Core census locations,Hydrurga leptonyx,Leopard seal,1,0,1,0,,,,,,,
1997/98-04,Core census locations,Leptonychotes weddellii,Weddell seal,22,10,11,,1,0,,0,,,
1997/98-05,Core census locations,Lobodon carcinophagus,Crabeater seal,1,0,1,,,,,,,,
1997/98-05,Core census locations,Mirounga leonina,Southern elephant seal,263,21,10,,32,78,,7,,,115
1997/98-05,Core census locations,Hydrurga leptonyx,Leopard seal,1,1,0,0,,,,,,,
1997/98-05,Core census locations,Leptonychotes weddellii,Weddell seal,19,9,5,,2,3,,0,,,
1997/98-06,Core census locations,Lobodon carcinophagus,Crabeater seal,0,0,0,,,,,,,,
1997/98-06,Core census locations,Mirounga leonina,Southern elephant seal,297,34,8,,77,68,,2,,,108
1997/98-06,Core census locations,Hydrurga leptonyx,Leopard seal,0,0,0,0,,,,,,,
1997/98-06,Core census locations,Leptonychotes weddellii,Weddell seal,21,8,8,,1,4,,0,,,
1997/98-07,Core census locations,Lobodon carcinophagus,Crabeater seal,0,0,0,,,,,,,,
1997/98-07,Core census locations,Mirounga leonina,Southern elephant seal,288,56,5,,77,26,,1,,,123
1997/98-07,Core census locations,Hydrurga leptonyx,Leopard seal,1,1,0,0,,,,,,,
1997/98-07,Core census locations,Leptonychotes weddellii,Weddell seal,21,8,8,,1,4,,0,,,
1997/98-08,Core census locations,Lobodon carcinophagus,Crabeater seal,0,0,0,,,,,,,,
1997/98-08,Core census locations,Mirounga leonina,Southern elephant seal,329,28,0,,37,6,,5,,,253
1997/98-08,Core census locations,Hydrurga leptonyx,Leopard seal,0,0,0,0,,,,,,,
1997/98-08,Core census locations,Leptonychotes weddellii,Weddell seal,13,6,6,,0,1,,0,,,
1998/99-01,Core census locations,Lobodon carcinophagus,Crabeater seal,0,0,0,,,,,,,,
1998/99-01,Core census locations,Mirounga leonina,Southern elephant seal,229,2,0,,17,43,,10,,,157
1998/99-01,Core census locations,Hydrurga leptonyx,Leopard seal,0,0,0,0,,,,,,,
1998/99-01,Core census locations,Leptonychotes weddellii,Weddell seal,21,11,9,,0,0,,1,,,
1998/99-02,Core census locations,Lobodon carcinophagus,Crabeater seal,0,0,0,,,,,,,,
1998/99-02,Core census locations,Mirounga leonina,Southern elephant seal,277,0,1,,45,97,,14,,,120
1998/99-02,Core census locations,Hydrurga leptonyx,Leopard seal,0,0,0,0,,,,,,,
1998/99-02,Core census locations,Leptonychotes weddellii,Weddell seal,19,10,9,,0,0,,0,,,
1998/99-03,Core census locations,Lobodon carcinophagus,Crabeater seal,0,0,0,,,,,,,,
1998/99-03,Core census locations,Mirounga leonina,Southern elephant seal,277,1,9,,15,9,,6,,,237
1998/99-03,Core census locations,Hydrurga leptonyx,Leopard seal,0,0,0,0,,,,,,,
1998/99-03,Core census locations,Leptonychotes weddellii,Weddell seal,13,6,6,,0,1,,0,,,
1998/99-04,Core census locations,Lobodon carcinophagus,Crabeater seal,0,0,0,,,,,,,,
